Title,Decsription,Link
"Bão đang mạnh lên, gây mưa nhiều hơn và dịch lên hướng bắc","Nhiều nghiên cứu cho thấy biến đổi khí hậu đang làm tăng nhiệt độ đại dương và không khí, do đó khiến bão thay đổi.",https://vnexpress.net/bao-dang-manh-len-gay-mua-nhieu-hon-va-dich-len-huong-bac-4793679.html
Hố tử thần nơi 100 con voi ma mút chết kẹt,MỸHố sụt sâu ít nhất 20 m ở Nam Dakota có thể quá trơn và dốc để những con voi ma mút trèo ra cách đây 190.000 năm.,https://vnexpress.net/ho-tu-than-noi-100-con-voi-ma-mut-chet-ket-4793571.html
Mùa bão Đại Tây Dương 2024 hoạt động trên mức bình thường,Cơ quan Quản lý Khí quyển và Đại dương Quốc gia Mỹ (NOAA) dự báo mùa bão Đại Tây Dương 2024 sẽ có hoạt động trên mức bình thường tới hết tháng 11.,https://vnexpress.net/mua-bao-dai-tay-duong-2024-hoat-dong-tren-muc-binh-thuong-4793470.html
Loài cá mập có gương mặt lợn,"Cá mập Angular có đôi mắt to, mõm màu hồng, lỗ mũi lớn và nha bì rõ rệt, khiến chúng trông giống một con lợn đầy lông.",https://vnexpress.net/loai-ca-map-co-guong-mat-lon-4793221.html
Bão hình thành và 'chết' như thế nào?,"Bão hình thành khi có áp suất khí quyển thấp ở vùng nước ấm, dần mạnh lên rồi lại suy yếu hoặc tan hẳn khi quét qua mặt đất. 38",https://vnexpress.net/bao-hinh-thanh-va-chet-nhu-the-nao-4793387.html
Tàu chở phi hành gia tư nhân của SpaceX trở về Trái Đất,"MỸPhi hành đoàn Polaris Dawn của SpaceX hạ cánh ở vịnh Mexico, kết thúc nhiệm vụ 5 ngày trên quỹ đạo, bao gồm chuyến đi bộ không gian thương mại đầu tiên trên thế giới. 36",https://vnexpress.net/tau-cho-phi-hanh-gia-tu-nhan-cua-spacex-tro-ve-trai-dat-4793217.html
Trung Quốc lên kế hoạch xây dựng căn cứ trên Mặt Trăng,"Trung Quốc tiết lộ kế hoạch xây dựng căn cứ trên cực nam của Mặt Trăng vào năm 2035, cuối cùng sẽ tạo ra một loạt các điểm kết nối trên bề mặt hành tinh này. 124",https://vnexpress.net/trung-quoc-len-ke-hoach-xay-dung-can-cu-tren-mat-trang-4793192.html
'Địa phương phân loại rác theo hạ tầng hiện có',"Luật Bảo vệ môi trường 2020 quy định bắt buộc phân loại rác tại nguồn từ 2025, tuy nhiên các địa phương tùy tình hình thực tế sẽ triển khai ở quy mô phường, xã sau đó nhân rộng.",https://vnexpress.net/dia-phuong-phan-loai-rac-theo-ha-tang-hien-co-4793390.html
Khai mạc Techfest vùng Bắc Trung Bộ và duyên hải miền Trung năm 2024,,https://vnexpress.net/khai-mac-techfest-vung-bac-trung-bo-va-duyen-hai-mien-trung-nam-2024-4792374.html
Tiến sĩ Việt phát triển công nghệ tạo thuốc diệt tế bào ung thư,,https://vnexpress.net/tien-si-viet-phat-trien-cong-nghe-tao-thuoc-diet-te-bao-ung-thu-4778234.html
'Địa phương phân loại rác theo hạ tầng hiện có',"Luật Bảo vệ môi trường 2020 quy định bắt buộc phân loại rác tại nguồn từ 2025, tuy nhiên các địa phương tùy tình hình thực tế sẽ triển khai ở quy mô phường, xã sau đó nhân rộng. 19",https://vnexpress.net/dia-phuong-phan-loai-rac-theo-ha-tang-hien-co-4793390.html
